,Name,Weeks,Cumulative Frequency
0,"September, 2019",1,1
1,"October, 2019",0,1
2,"November, 2019",0,1
3,"December, 2019",0,1
4,"January, 2020",0,1
5,"February, 2020",0,1
6,"March, 2020",0,1
7,"April, 2020",0,1
8,"May, 2020",0,1
9,"June, 2020",0,1
10,"July, 2020",0,1
11,"August, 2020",0,1
12,"September, 2020",0,1
13,"October, 2020",0,1
14,"November, 2020",0,1
15,"December, 2020",0,1
16,"January, 2021",2,3
17,"February, 2021",19,22
18,"March, 2021",0,22
19,"April, 2021",0,22
20,"May, 2021",3,25
21,"June, 2021",1,26
22,"July, 2021",72,98
23,"August, 2021",47,145
24,"September, 2021",145,290
25,"October, 2021",60,350
26,"November, 2021",75,425
27,"December, 2021",46,471
28,"January, 2022",63,534
29,"February, 2022",78,612
30,"March, 2022",13,625
31,"April, 2022",37,662
32,"May, 2022",30,692
33,"June, 2022",12,704
